algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank,top_k
RandomForest,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS,EUR/6907619,1.6094062328338623,10.383814334869385,0.0,0,296342.5258969945,8.774408102035522,"{'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 710844.9094722857, 'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 653172.3360636786, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 400479.45134676684, 'EUR/6907619/rabbitmq-performance.csv.lat95': 230260.2663016771, 'EUR/6907619/rabbitmq-performance.csv.n': 204712.34175486764, 'EUR/6907619/rabbitmq-performance.csv.lat99': 174001.6879329139, 'EUR/6907619/rabbitmq-performance.csv.min': 55542.66349955143, 'EUR/6907619/rabbitmq-performance.csv.lat75': 36627.592801493905, 'EUR/6907619/rabbitmq-performance.csv.lat50': 35955.4527771536, 'EUR/6907619/amf-performance.csv.time': 689.6332601444213, 'EUR/6907619/amf-performance.csv.cpu_usage': 309.62306722418873, 'EUR/6907619/amf-performance.csv.ram_limit': 238.2808158336673, 'EUR/6907619/amf-performance.csv.n': 111.16407962823287, 'EUR/6907619/amf-performance.csv.lat90': 37.11214588269358, 'EUR/6907619/amf-performance.csv.lat50': 6.207325701031368, 'EUR/6907619/amf-performance.csv.lat95': 3.360806295904331, 'EUR/6907619/amf-performance.csv.lat75': 2.4357138487976044, 'EUR/6907619/amf-performance.csv.lat100': -0.8576010884484276, 'EUR/6907619/amf-performance.csv.lat80': -7.388486748281866, 'EUR/6907619/amf-performance.csv.lat99': -13.784841842437164, 'EUR/6907619/amf-performance.csv.lat98': -24.95647436695872, 'EUR/6907619/amf-performance.csv.mean': -35.70820722329663, 'EUR/6907619/amf-performance.csv.cpu_limit': -56.90535915006185}","['EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.time', 'EUR/6907619/amf-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.cpu_usage', 'EUR/6907619/amf-performance.csv.n', 'EUR/6907619/amf-performance.csv.mean', 'EUR/6907619/amf-performance.csv.lat50', 'EUR/6907619/amf-performance.csv.lat75', 'EUR/6907619/amf-performance.csv.lat80', 'EUR/6907619/amf-performance.csv.lat90', 'EUR/6907619/amf-performance.csv.lat95', 'EUR/6907619/amf-performance.csv.lat98', 'EUR/6907619/amf-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.lat100', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/amf-performance.csv.ram_limit']",0.0,0.0,0,0
LightGBM,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS,EUR/6907619,1.6094062328338623,60.384411096572876,0.0,0,297894.0118643815,58.775004863739014,"{'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 573966.088453793, 'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 517785.7175903598, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 456734.2632876254, 'EUR/6907619/rabbitmq-performance.csv.lat95': 395353.1303642667, 'EUR/6907619/rabbitmq-performance.csv.min': 227243.62355784504, 'EUR/6907619/rabbitmq-performance.csv.n': 174403.93544707308, 'EUR/6907619/rabbitmq-performance.csv.lat99': 142680.36746934158, 'EUR/6907619/rabbitmq-performance.csv.lat50': 69208.17830519714, 'EUR/6907619/rabbitmq-performance.csv.lat75': 59955.39430262365, 'EUR/6907619/amf-performance.csv.cpu_limit': 304.1887825641432, 'EUR/6907619/amf-performance.csv.time': 280.2050447703339, 'EUR/6907619/amf-performance.csv.mean': 140.0978832148365, 'EUR/6907619/amf-performance.csv.lat90': 102.3941235028673, 'EUR/6907619/amf-performance.csv.n': 75.27603890105384, 'EUR/6907619/amf-performance.csv.lat95': 64.03387557048117, 'EUR/6907619/amf-performance.csv.lat99': -20.435999685293062, 'EUR/6907619/amf-performance.csv.lat98': -29.303644314815756, 'EUR/6907619/amf-performance.csv.lat50': -35.797337336372586, 'EUR/6907619/amf-performance.csv.lat80': -54.64037878076779, 'EUR/6907619/amf-performance.csv.lat75': -91.34918432423146, 'EUR/6907619/amf-performance.csv.lat100': -174.37768841227518, 'EUR/6907619/amf-performance.csv.cpu_usage': -638.035165510152, 'EUR/6907619/amf-performance.csv.ram_limit': -638.2291908993153}","['EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.time', 'EUR/6907619/amf-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.cpu_usage', 'EUR/6907619/amf-performance.csv.n', 'EUR/6907619/amf-performance.csv.mean', 'EUR/6907619/amf-performance.csv.lat50', 'EUR/6907619/amf-performance.csv.lat75', 'EUR/6907619/amf-performance.csv.lat80', 'EUR/6907619/amf-performance.csv.lat90', 'EUR/6907619/amf-performance.csv.lat95', 'EUR/6907619/amf-performance.csv.lat98', 'EUR/6907619/amf-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.lat100', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/amf-performance.csv.ram_limit']",0.0,0.0,0,0
ExtraTrees,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS,EUR/6907619,1.6094062328338623,7.425857305526733,0.0,0,278102.2412611445,5.816451072692871,"{'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 674342.3788930245, 'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 516331.2931955384, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 350129.0052028395, 'EUR/6907619/rabbitmq-performance.csv.n': 210138.60610287738, 'EUR/6907619/rabbitmq-performance.csv.min': 111342.10529772867, 'EUR/6907619/rabbitmq-performance.csv.lat99': 106564.19780891361, 'EUR/6907619/rabbitmq-performance.csv.lat95': 104421.57373994192, 'EUR/6907619/rabbitmq-performance.csv.lat50': 103967.96858855482, 'EUR/6907619/rabbitmq-performance.csv.lat75': 98783.25991330037, 'EUR/6907619/amf-performance.csv.ram_limit': 147.96594879110344, 'EUR/6907619/amf-performance.csv.time': 120.49481565518072, 'EUR/6907619/amf-performance.csv.mean': 42.73067406992195, 'EUR/6907619/amf-performance.csv.lat90': 15.206987074727659, 'EUR/6907619/amf-performance.csv.lat80': -2.359620298852678, 'EUR/6907619/amf-performance.csv.cpu_usage': -19.564883165375797, 'EUR/6907619/amf-performance.csv.lat99': -28.833215535653288, 'EUR/6907619/amf-performance.csv.lat95': -34.20263829027535, 'EUR/6907619/amf-performance.csv.lat100': -56.76518990363693, 'EUR/6907619/amf-performance.csv.lat50': -65.92934372693999, 'EUR/6907619/amf-performance.csv.lat98': -78.90412580269621, 'EUR/6907619/amf-performance.csv.n': -85.15029795619193, 'EUR/6907619/amf-performance.csv.lat75': -129.5111806618166, 'EUR/6907619/amf-performance.csv.cpu_limit': -185.07552142627537}","['EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.time', 'EUR/6907619/amf-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.cpu_usage', 'EUR/6907619/amf-performance.csv.n', 'EUR/6907619/amf-performance.csv.mean', 'EUR/6907619/amf-performance.csv.lat50', 'EUR/6907619/amf-performance.csv.lat75', 'EUR/6907619/amf-performance.csv.lat80', 'EUR/6907619/amf-performance.csv.lat90', 'EUR/6907619/amf-performance.csv.lat95', 'EUR/6907619/amf-performance.csv.lat98', 'EUR/6907619/amf-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.lat100', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/amf-performance.csv.ram_limit']",0.0,0.0,0,0
XGBoost,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS,EUR/6907619,1.6094062328338623,26.64518427848816,0.0,0,316846.87723968935,25.035778045654297,"{'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 569846.7280719297, 'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 509004.4552794382, 'EUR/6907619/rabbitmq-performance.csv.min': 471687.5465288049, 'EUR/6907619/rabbitmq-performance.csv.lat95': 445665.04162127164, 'EUR/6907619/rabbitmq-performance.csv.lat99': 321138.6121245331, 'EUR/6907619/rabbitmq-performance.csv.lat50': 321075.2430371466, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 305678.99376548314, 'EUR/6907619/rabbitmq-performance.csv.lat75': 254116.6255071097, 'EUR/6907619/rabbitmq-performance.csv.n': 231258.97032256037, 'EUR/6907619/amf-performance.csv.lat90': 638.842805409315, 'EUR/6907619/amf-performance.csv.cpu_limit': 387.9653362905723, 'EUR/6907619/amf-performance.csv.lat75': 176.50876380999108, 'EUR/6907619/amf-performance.csv.lat95': 88.38175488415872, 'EUR/6907619/amf-performance.csv.time': 28.4396916418802, 'EUR/6907619/amf-performance.csv.lat100': 14.970038134697825, 'EUR/6907619/amf-performance.csv.lat99': -26.351372906647157, 'EUR/6907619/amf-performance.csv.lat80': -27.62860785011435, 'EUR/6907619/amf-performance.csv.lat98': -58.641019732272255, 'EUR/6907619/amf-performance.csv.lat50': -70.3067230196204, 'EUR/6907619/amf-performance.csv.mean': -118.03355691939359, 'EUR/6907619/amf-performance.csv.n': -151.0562584741041, 'EUR/6907619/amf-performance.csv.cpu_usage': -659.3293680356467, 'EUR/6907619/amf-performance.csv.ram_limit': -1038.0520600980847}","['EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.time', 'EUR/6907619/amf-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.cpu_usage', 'EUR/6907619/amf-performance.csv.n', 'EUR/6907619/amf-performance.csv.mean', 'EUR/6907619/amf-performance.csv.lat50', 'EUR/6907619/amf-performance.csv.lat75', 'EUR/6907619/amf-performance.csv.lat80', 'EUR/6907619/amf-performance.csv.lat90', 'EUR/6907619/amf-performance.csv.lat95', 'EUR/6907619/amf-performance.csv.lat98', 'EUR/6907619/amf-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.lat100', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/amf-performance.csv.ram_limit']",0.0,0.0,0,0
KNeighbors,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS,EUR/6907619,1.6094062328338623,5.046844244003296,0.0,0,839101.6008658179,3.4374380111694336,"{'EUR/6907619/rabbitmq-performance.csv.min': 432719.9730761639, 'EUR/6907619/rabbitmq-performance.csv.lat99': 391291.7431929198, 'EUR/6907619/rabbitmq-performance.csv.lat95': 305180.96869444207, 'EUR/6907619/rabbitmq-performance.csv.lat75': 284236.9217466309, 'EUR/6907619/rabbitmq-performance.csv.lat50': 272797.9497649091, 'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 3975.1650910448748, 'EUR/6907619/rabbitmq-performance.csv.n': 3886.3379232517445, 'EUR/6907619/amf-performance.csv.lat95': 2549.5419413011055, 'EUR/6907619/amf-performance.csv.lat90': 2271.126370446035, 'EUR/6907619/amf-performance.csv.lat98': 1801.293992685154, 'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 1800.0673004431883, 'EUR/6907619/amf-performance.csv.lat99': 1774.4727014670848, 'EUR/6907619/amf-performance.csv.lat75': 1742.2414333183085, 'EUR/6907619/amf-performance.csv.lat100': 1662.8186593255493, 'EUR/6907619/amf-performance.csv.time': 1505.2059810796986, 'EUR/6907619/amf-performance.csv.lat80': 1493.5347523951903, 'EUR/6907619/amf-performance.csv.lat50': 445.3758888230659, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 0.0, 'EUR/6907619/amf-performance.csv.n': 0.0, 'EUR/6907619/amf-performance.csv.cpu_usage': 0.0, 'EUR/6907619/amf-performance.csv.cpu_limit': 0.0, 'EUR/6907619/amf-performance.csv.ram_limit': 0.0, 'EUR/6907619/amf-performance.csv.mean': -291.1241991886403}","['EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.time', 'EUR/6907619/amf-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.cpu_usage', 'EUR/6907619/amf-performance.csv.n', 'EUR/6907619/amf-performance.csv.mean', 'EUR/6907619/amf-performance.csv.lat50', 'EUR/6907619/amf-performance.csv.lat75', 'EUR/6907619/amf-performance.csv.lat80', 'EUR/6907619/amf-performance.csv.lat90', 'EUR/6907619/amf-performance.csv.lat95', 'EUR/6907619/amf-performance.csv.lat98', 'EUR/6907619/amf-performance.csv.lat99', 'EUR/6907619/amf-performance.csv.lat100', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/amf-performance.csv.ram_limit']",0.0,0.0,0,0
RandomForest,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS_Filter,EUR/6907619,1.6094062328338623,8.310989379882812,0.019407987594604492,0,294958.743435892,6.682175159454346,"{'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 709206.1473998341, 'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 654566.8416443991, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 401722.5854354743, 'EUR/6907619/rabbitmq-performance.csv.lat95': 230266.7646703786, 'EUR/6907619/rabbitmq-performance.csv.n': 205654.54073702364, 'EUR/6907619/rabbitmq-performance.csv.lat99': 177589.68769136, 'EUR/6907619/rabbitmq-performance.csv.min': 52522.4812769431, 'EUR/6907619/rabbitmq-performance.csv.lat75': 40252.91791380009, 'EUR/6907619/rabbitmq-performance.csv.lat50': 35641.61969059409, 'EUR/6907619/amf-performance.csv.time': 1394.0603728834656, 'EUR/6907619/amf-performance.csv.ram_limit': 662.2430322618341}","['EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/amf-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.time']",0.0,0.0,0,0
LightGBM,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS_Filter,EUR/6907619,1.6094062328338623,19.104666471481323,0.019407987594604492,0,297565.9135965626,17.475852251052856,"{'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 568934.2713695122, 'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 524875.9474151137, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 454127.49266184185, 'EUR/6907619/rabbitmq-performance.csv.lat95': 364331.7056493511, 'EUR/6907619/rabbitmq-performance.csv.lat99': 238130.14369390951, 'EUR/6907619/rabbitmq-performance.csv.min': 185898.51130708505, 'EUR/6907619/rabbitmq-performance.csv.n': 170767.6804654872, 'EUR/6907619/rabbitmq-performance.csv.lat50': 52407.92904039173, 'EUR/6907619/rabbitmq-performance.csv.lat75': 48524.79852034574, 'EUR/6907619/amf-performance.csv.time': 28.125816682795993, 'EUR/6907619/amf-performance.csv.ram_limit': -457.16231262214717}","['EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/amf-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.time']",0.0,0.0,0,0
ExtraTrees,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS_Filter,EUR/6907619,1.6094062328338623,5.543338060379028,0.019407987594604492,0,275091.8188793153,3.9145238399505615,"{'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 678586.2128168002, 'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 518417.990076086, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 350828.2776160588, 'EUR/6907619/rabbitmq-performance.csv.n': 216035.86972770392, 'EUR/6907619/rabbitmq-performance.csv.lat99': 122118.53407785387, 'EUR/6907619/rabbitmq-performance.csv.min': 120393.71791182298, 'EUR/6907619/rabbitmq-performance.csv.lat95': 106918.33803207331, 'EUR/6907619/rabbitmq-performance.csv.lat50': 97302.9284335445, 'EUR/6907619/rabbitmq-performance.csv.lat75': 95143.68802932986, 'EUR/6907619/amf-performance.csv.time': 1177.999262976041, 'EUR/6907619/amf-performance.csv.ram_limit': 638.994434635539}","['EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/amf-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.time']",0.0,0.0,0,0
XGBoost,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS_Filter,EUR/6907619,1.6094062328338623,10.237821102142334,0.019407987594604492,0,312574.35751836386,8.609006881713867,"{'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 555766.9485570395, 'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 545182.1132580241, 'EUR/6907619/rabbitmq-performance.csv.lat99': 422431.7924521815, 'EUR/6907619/rabbitmq-performance.csv.lat95': 412781.3288191843, 'EUR/6907619/rabbitmq-performance.csv.lat50': 346219.05720885703, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 309619.2747169219, 'EUR/6907619/rabbitmq-performance.csv.lat75': 241254.16621694993, 'EUR/6907619/rabbitmq-performance.csv.n': 229820.6858828178, 'EUR/6907619/rabbitmq-performance.csv.min': 225875.20247865585, 'EUR/6907619/amf-performance.csv.time': 952.3423827980063, 'EUR/6907619/amf-performance.csv.ram_limit': -658.2746739169467}","['EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/amf-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.time']",0.0,0.0,0,0
KNeighbors,EUR/6907619/rabbitmq-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/amf-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/golang-web-server-performance.csv--EUR/6907619/rabbitmq-performance.csv-ram_usage-ram_usage-EUR/6907619/python-web-server-performance.csv,Join_All_BFS_Filter,EUR/6907619,1.6094062328338623,2.7237162590026855,0.019407987594604492,0,836981.7133822334,1.0949020385742188,"{'EUR/6907619/rabbitmq-performance.csv.min': 441954.2882176639, 'EUR/6907619/rabbitmq-performance.csv.lat99': 401909.23102222267, 'EUR/6907619/rabbitmq-performance.csv.lat95': 313514.9897149824, 'EUR/6907619/rabbitmq-performance.csv.lat75': 288916.18817510514, 'EUR/6907619/rabbitmq-performance.csv.lat50': 273961.32820600184, 'EUR/6907619/rabbitmq-performance.csv.cpu_limit': 3985.174623852619, 'EUR/6907619/rabbitmq-performance.csv.n': 3896.127338651917, 'EUR/6907619/rabbitmq-performance.csv.cpu_usage': 1804.6088358728448, 'EUR/6907619/amf-performance.csv.time': 1663.8493205783889, 'EUR/6907619/amf-performance.csv.ram_limit': 0.0, 'EUR/6907619/rabbitmq-performance.csv.ram_limit': 0.0}","['EUR/6907619/rabbitmq-performance.csv.cpu_usage', 'EUR/6907619/rabbitmq-performance.csv.n', 'EUR/6907619/rabbitmq-performance.csv.lat99', 'EUR/6907619/rabbitmq-performance.csv.lat95', 'EUR/6907619/rabbitmq-performance.csv.lat75', 'EUR/6907619/rabbitmq-performance.csv.lat50', 'EUR/6907619/rabbitmq-performance.csv.min', 'EUR/6907619/amf-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.ram_limit', 'EUR/6907619/rabbitmq-performance.csv.cpu_limit', 'EUR/6907619/amf-performance.csv.time']",0.0,0.0,0,0
